X,Y,x,sqx,xy,te
199.8,1726.5,-377.40000000000003,142430.76000000004,-651581.1000000001,9544.33452450161
200.4,2808.2,-376.80000000000007,141978.24000000005,-1058129.76,9516.47205687861
201,0,-376.20000000000005,141526.44000000003,0,9488.653920946339
201.6,2054.8,-375.6,141075.36000000002,-771782.8800000001,9460.880116704797
202.2,2054.8,-375.00000000000006,140625.00000000003,-770550.0000000002,9433.150644153984
202.8,3122.3,-374.40000000000003,140175.36000000002,-1168989.12,9405.465503293899
203.4,3122.3,-373.80000000000007,139726.44000000006,-1167115.7400000002,9377.824694124547
204,220.7,-373.20000000000005,139278.24000000002,-82365.24,9350.228216645917
204.6,3160,-372.6,138830.76,-1177416,9322.676070858019
205.2,3160,-372.00000000000006,138384.00000000003,-1175520.0000000002,9295.168256760851
205.8,2572.6,-371.40000000000003,137937.96000000002,-955463.64,9267.70477435441
206.4,2572.6,-370.80000000000007,137492.64000000004,-953920.0800000002,9240.2856236387
207,0.1,-370.20000000000005,137048.04000000004,-37.02,9212.910804613715
207.6,0,-369.6,136604.16,0,9185.580317279459
208.2,0,-369.00000000000006,136161.00000000003,0,9158.294161635935
208.8,0.1,-368.40000000000003,135718.56000000003,-36.84,9131.052337683137
209.4,0.1,-367.80000000000007,135276.84000000005,-36.78000000000001,9103.85484542107
210,0.1,-367.20000000000005,134835.84000000003,-36.720000000000006,9076.70168484973
210.6,0,-366.6,134395.56000000003,0,9049.592855969118
211.2,0,-366.00000000000006,133956.00000000003,0,9022.528358779236
211.8,0,-365.40000000000003,133517.16000000003,0,8995.508193280082
212.4,0,-364.80000000000007,133079.04000000004,0,8968.53235947166
213,0.1,-364.20000000000005,132641.64000000004,-36.42000000000001,8941.600857353964
213.6,0,-363.6,132204.96000000002,0,8914.713686926994
214.2,0.1,-363.00000000000006,131769.00000000003,-36.300000000000004,8887.870848190756
214.8,0,-362.40000000000003,131333.76000000004,0,8861.072341145247
215.4,0,-361.80000000000007,130899.24000000005,0,8834.318165790466
216,0,-361.20000000000005,130465.44000000003,0,8807.608322126413
216.6,0.1,-360.6,130032.36000000002,-36.06,8780.942810153088
217.2,0,-360.00000000000006,129600.00000000004,0,8754.321629870496
217.8,0,-359.40000000000003,129168.36000000003,0,8727.744781278629
218.4,0,-358.80000000000007,128737.44000000005,0,8701.212264377491
219,0,-358.20000000000005,128307.24000000003,0,8674.724079167083
219.6,0.1,-357.6,127877.76000000001,-35.760000000000005,8648.2802256474
220.2,1686.1,-357.00000000000006,127449.00000000004,-601937.7000000001,8621.880703818451
220.8,3104.6,-356.40000000000003,127020.96000000002,-1106479.4400000002,8595.525513680226
221.4,49.9,-355.80000000000007,126593.64000000004,-17754.420000000002,8569.214655232734
222,0,-355.20000000000005,126167.04000000004,0,8542.94812847597
222.6,0,-354.6,125741.16000000002,0,8516.72593340993
223.2,0,-354.00000000000006,125316.00000000004,0,8490.548070034625
223.8,0,-353.40000000000003,124891.56000000003,0,8464.414538350045
224.4,0,-352.80000000000007,124467.84000000005,0,8438.325338356195
225,0,-352.20000000000005,124044.84000000003,0,8412.280470053072
225.6,0,-351.6,123622.56000000001,0,8386.279933440679
226.2,892,-351.00000000000006,123201.00000000004,-313092.00000000006,8360.323728519017
226.8,2935.9,-350.40000000000003,122780.16000000002,-1028739.3600000001,8334.41185528808
227.4,1874.5,-349.80000000000007,122360.04000000005,-655700.1000000001,8308.544313747874
228,2276.7,-349.20000000000005,121940.64000000003,-795023.64,8282.721103898395
228.6,963,-348.6,121521.96000000002,-335701.80000000005,8256.942225739645
229.2,3069.8,-348.00000000000006,121104.00000000004,-1068290.4000000001,8231.207679271625
229.8,29.9,-347.40000000000003,120686.76000000002,-10387.26,8205.517464494333
230.4,2954,-346.80000000000007,120270.24000000005,-1024447.2000000002,8179.871581407771
231,1758.7,-346.20000000000005,119854.44000000003,-608861.9400000001,8154.270030011936
231.6,1969.5,-345.6,119439.36000000002,-680659.2000000001,8128.712810306829
232.2,243.9,-345.00000000000006,119025.00000000004,-84145.50000000001,8103.199922292454
232.8,0,-344.40000000000003,118611.36000000003,0,8077.731365968804
233.4,0,-343.80000000000007,118198.44000000005,0,8052.307141335886
234,0,-343.20000000000005,117786.24000000003,0,8026.927248393695
234.6,0,-342.6,117374.76000000001,0,8001.5916871422305
235.2,0,-342.00000000000006,116964.00000000004,0,7976.300457581499
